Country,Region,Cercle,Commune,Village,Latitude,Longitude,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR
Mali,Tombouctou,Tombouctou,Tombouctou,Abaradjo,16.7760104,-3.00884502,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Gourma-Rharous,Rharous,Acheick-koira,16.8408942,-2.0468522,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Lafia,Aglal,16.6143458,-2.6836714,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Gao,N'Tillit,Ahaidama,15.5548711,-0.4619503,2,ML02,Northern Livestock,Nord élevage
Mali,Douentza,Douentza,Petaka,Alabengouma,15.0623386,-2.80862552,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Petaka,Alamina,15.0542176,-2.8672044,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Dallah,Ama,15.1359161,-2.51541165,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Serere,Amaragoungou,16.7836725,-2.3458389,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Anakaga ,14.1268789,-3.05181865,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Barapireli,Anakanda (Barapireli),14.3281179,-3.16925665,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Ansongo,Ansongo,Ansongo,15.6628029,0.50406548,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Arnasaye,16.7047641,-2.7894794,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Ayabosso,15.6142926,-0.4940097,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Tombouctou,Tombouctou,Badjende,16.7689397,-3.00584502,17,ML17,Urban,Milieu urbain
Mali,Gao,Gao,Soni Ali Ber,Bagnadji,16.5077915,-0.1228839,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Bam Koro,13.7363613,-3.0977469,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Koro,Bana Gabou,13.7410419,-3.09503715,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Douentza,Douentza,Haire,Banaga,15.0676402,-2.22707752,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Bana-koro,13.7363613,-3.0977469,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Gourma-Rharous,Rharous,Banguil,16.8166258,-2.1734733,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Banikane,Banikane I,16.9477755,-1.7506611,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Dallah,Baraoussi,15.135836,-2.57112052,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Barapireli,Barapireli,14.3046359,-3.0558889,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Bargou,13.9368307,-2.96799002,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Gao,Soni Ali Ber,Batal,16.3808199,-0.0118659,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Ansongo,Bazi-gourma,15.6997062,0.43141686,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Ansongo,Bazi Haoussa,15.6690534,0.50026561,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Beguebombo,13.9569324,-3.15062627,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Tombouctou,Tombouctou,Bella farandi,16.7718,-3.00452515,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Tombouctou,Bourem Inaly,Bellasaou-zeina,16.7058044,-2.7161609,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Bellassao-djandjina,16.7180156,-2.71104115,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Beni bebby,15.0048544,-2.16100877,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Benibana,14.099916,-3.16395627,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Tombouctou,Bourem Inaly,Beragoungou,16.7226462,-2.59109365,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Berou na,13.886056,-2.96243002,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Gao,Soni Ali Ber,Berrah,16.3227042,-0.02216565,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Bih,13.9226196,-2.91159115,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Koro,Biramaoude,14.0631601,-3.0756675,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Douentza,Douentza,Haire,Boni (haire),15.0713206,-2.22261765,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Tombouctou,Lafia,Bori,16.692483,-2.77232977,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Bourra,Boubacar alamine,15.6759239,0.43604673,2,ML02,Northern Livestock,Nord élevage
Mali,Douentza,Douentza,Dallah,Boumban,15.0793105,-2.63555915,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Tombouctou,Bourem Inaly,Bourem-inaly,16.6863522,-2.85151815,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Banikane,Chambou,16.9900336,-1.6223544,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,Cherifen ergo,16.8228474,-1.8144499,2,ML02,Northern Livestock,Nord élevage
Mali,Douentza,Douentza,Dallah,Dallah,15.105278,-2.6402779,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Dangouma Goungobomé,16.8441809,-2.1298792,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Petaka,Dansa,15.0706496,-2.72516727,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Dim na,14.021419,-2.97287015,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Tombouctou,Tombouctou,Djingareye ber,16.7698499,-3.00895502,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Gourma-Rharous,Rharous,Djiri-bibi,16.8401885,-2.07831452,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Doreye,15.8126397,-0.41500952,2,ML02,Northern Livestock,Nord élevage
Mali,Douentza,Douentza,Douentza,Douentza,14.9913615,-2.95431227,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Kerena,Douma (Kerena),14.9148945,-2.85368427,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Douentza,Drimbe,15.0208745,-2.89630365,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Banikane,Egachar,16.984722,-1.743611,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Egaf noredj,16.2384279,-0.0315295,17,ML17,Urban,Milieu urbain
Mali,Gao,Ansongo,Tessit,Eguedech I,15.3149977,-0.3293869,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Gao,Ansongo,Tessit,Eguedech Ii,15.3230697,0.22131198,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Douentza,Douentza,Haire,Ela boni,15.0640597,-2.24673715,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Ene,14.1409601,-3.05336865,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Douentza,Ewery,14.9651891,-2.92947277,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Feitawane kitia,16.8438323,-2.1176104,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Douentza,Fombori,14.9780204,-2.94241252,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Gao,Soni Ali Ber,Forgho Arma,16.4698681,-0.06557502,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,Soni Ali Ber,Forgho Sonrai,16.5045813,-0.07519502,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Tessit,Foulane kel gogui,15.226405,0.2903033,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Tombouctou,Gourma-Rharous,Rharous,Gaberi,16.9078152,-1.87956877,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Gai,15.0997735,-2.1180299,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Gakou,13.6892671,-2.98395927,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Koro,Gnini,14.0135678,-3.13857652,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Ansongo,Bourra,Gollingo,15.4845161,0.64392298,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Gomso Baroua,13.9923062,-2.91332127,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Koro,Gomsona,13.9955765,-2.9252009,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Douentza,Douentza,Petaka,Gono,15.0601184,-2.78894602,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Gorobouro,14.1140175,-3.11913715,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Barapireli,Goudiodourou,14.3211273,-3.06037877,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Douentza,Goumbena,14.9114139,-2.95832202,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Banikane,Gouzougueye,16.943739,-1.71471227,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Guitram,15.0534285,-2.41180365,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Ansongo,Bourra,Hama Alkounti,16.1144062,0.71843998,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Tombouctou,Tombouctou,Hamabangou,16.7064618,-2.9870796,17,ML17,Urban,Milieu urbain
Mali,Gao,Gao,Soni Ali Ber,Hamakouladji,16.6105212,-0.1132644,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Tessit,Haroune,15.149444,0.344166,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Gao,Gao,N'Tillit,Herbou ,16.2422442,-0.0394135,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Tombouctou,Bourem Inaly,Hewa,16.6694006,-2.8585479,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Houndoubomo ababer,16.6672404,-2.88898715,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Idarfane,16.20344091,-0.47712559,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Gao,N'Tillit,Idjandouyane,16.0597985,-0.40235715,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Igawadaren ii,16.8139674,-2.1680828,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,Igawadaren ouest ii,16.8139674,-2.1680828,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Ikarayrayane,16.2004422,-0.1869519,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Ikorchatane benguel ii,16.8737039,-1.9299815,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,Ikorchatane Bengaou,16.7916021,-2.2265596,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Tessit,Imarad I,15.4335301,0.10248411,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Gao,Gao,N'Tillit,Issamedewane ,16.1131538,-0.8617045,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Tombouctou,Tombouctou,Kabara,16.7025535,-2.9850954,17,ML17,Urban,Milieu urbain
Mali,Tombouctou,Tombouctou,Lafia,Kaga,16.7256163,-2.68042177,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,Kal alhafra,16.4088553,-1.7670616,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Gourma-Rharous,Serere,Kano,16.768841,-2.39520777,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Karakamba,14.1061566,-3.18090602,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Gao,Soni Ali Ber,Kareibandia,16.6372037,-0.1647234,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Kel antsar tintadeini,16.408394,-1.7659301,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Tessit,Kel Gossi Foulane,15.469213,-0.06801252,2,ML02,Northern Livestock,Nord élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Kel guenchichi ii,16.8144421,-2.1663232,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,Kel guenchichi tabakat,16.7859128,-2.1812652,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Kel gueris,16.0781702,-0.3650879,2,ML02,Northern Livestock,Nord élevage
